car_id,msrp,make,engine_hp,engine_cylinders,transmission_type,driven_wheels,number_of_doors,vehicle_size,vehicle_style,highway_mpg,city_mpg
47,14530,Mazda,100.0,4.0,MANUAL,front wheel drive,4.0,Compact,4dr Hatchback,35,29
48,16860,Mazda,100.0,4.0,AUTOMATIC,front wheel drive,4.0,Compact,4dr Hatchback,34,28
49,15370,Mazda,100.0,4.0,AUTOMATIC,front wheel drive,4.0,Compact,4dr Hatchback,34,28
50,17050,Mazda,100.0,4.0,AUTOMATIC,front wheel drive,4.0,Compact,4dr Hatchback,34,28
51,15560,Mazda,100.0,4.0,AUTOMATIC,front wheel drive,4.0,Compact,4dr Hatchback,34,28
52,16210,Mazda,100.0,4.0,MANUAL,front wheel drive,4.0,Compact,4dr Hatchback,35,29
53,14720,Mazda,100.0,4.0,MANUAL,front wheel drive,4.0,Compact,4dr Hatchback,35,29
54,17050,Mazda,100.0,4.0,AUTOMATIC,front wheel drive,4.0,Compact,4dr Hatchback,34,28
55,15560,Mazda,100.0,4.0,AUTOMATIC,front wheel drive,4.0,Compact,4dr Hatchback,34,28
56,16210,Mazda,100.0,4.0,MANUAL,front wheel drive,4.0,Compact,4dr Hatchback,35,29
57,14720,Mazda,100.0,4.0,MANUAL,front wheel drive,4.0,Compact,4dr Hatchback,35,29
58,47250,BMW,300.0,6.0,AUTOMATIC,all wheel drive,4.0,Midsize,4dr Hatchback,30,20
59,41850,BMW,240.0,4.0,AUTOMATIC,all wheel drive,4.0,Midsize,4dr Hatchback,33,22
60,41850,BMW,240.0,4.0,AUTOMATIC,all wheel drive,4.0,Midsize,4dr Hatchback,33,22
61,43000,BMW,240.0,4.0,AUTOMATIC,all wheel drive,4.0,Midsize,4dr Hatchback,34,22
62,49200,BMW,300.0,6.0,AUTOMATIC,all wheel drive,4.0,Midsize,4dr Hatchback,30,20
63,49650,BMW,320.0,6.0,AUTOMATIC,all wheel drive,4.0,Midsize,4dr Hatchback,30,20
64,43950,BMW,248.0,4.0,AUTOMATIC,all wheel drive,4.0,Midsize,4dr Hatchback,33,23
65,41950,BMW,241.0,4.0,AUTOMATIC,all wheel drive,4.0,Midsize,Wagon,33,22
66,50150,BMW,335.0,6.0,AUTOMATIC,rear wheel drive,4.0,Midsize,Sedan,33,25
67,37500,BMW,240.0,4.0,AUTOMATIC,rear wheel drive,4.0,Midsize,Sedan,35,23
68,43750,BMW,300.0,6.0,AUTOMATIC,rear wheel drive,4.0,Midsize,Sedan,32,21
69,39000,BMW,180.0,4.0,AUTOMATIC,rear wheel drive,4.0,Midsize,Sedan,45,32
70,39500,BMW,240.0,4.0,AUTOMATIC,all wheel drive,4.0,Midsize,Sedan,33,22
71,39500,BMW,240.0,4.0,AUTOMATIC,all wheel drive,4.0,Midsize,Sedan,33,22
72,34950,BMW,180.0,4.0,AUTOMATIC,all wheel drive,4.0,Midsize,Sedan,35,23
73,45750,BMW,300.0,6.0,AUTOMATIC,all wheel drive,4.0,Midsize,Sedan,30,20
74,43450,BMW,180.0,4.0,AUTOMATIC,all wheel drive,4.0,Midsize,Wagon,43,31
75,37500,BMW,240.0,4.0,AUTOMATIC,rear wheel drive,4.0,Midsize,Sedan,35,23
76,41000,BMW,180.0,4.0,AUTOMATIC,all wheel drive,4.0,Midsize,Sedan,43,31
77,32950,BMW,180.0,4.0,AUTOMATIC,rear wheel drive,4.0,Midsize,Sedan,36,24
78,41850,BMW,180.0,4.0,AUTOMATIC,all wheel drive,4.0,Midsize,Sedan,40,30
79,47800,BMW,320.0,6.0,AUTOMATIC,all wheel drive,4.0,Midsize,Sedan,33,22
80,39850,BMW,180.0,4.0,AUTOMATIC,rear wheel drive,4.0,Midsize,Sedan,42,32
81,38350,BMW,240.0,4.0,AUTOMATIC,rear wheel drive,4.0,Midsize,Sedan,34,22
82,40350,BMW,240.0,4.0,AUTOMATIC,all wheel drive,4.0,Midsize,Sedan,34,22
83,38350,BMW,240.0,4.0,MANUAL,rear wheel drive,4.0,Midsize,Sedan,34,22
84,42650,BMW,240.0,4.0,AUTOMATIC,all wheel drive,4.0,Midsize,Wagon,34,22
85,33150,BMW,180.0,4.0,AUTOMATIC,rear wheel drive,4.0,Midsize,Sedan,36,24
86,35150,BMW,180.0,4.0,AUTOMATIC,all wheel drive,4.0,Midsize,Sedan,35,23
87,44150,BMW,180.0,4.0,AUTOMATIC,all wheel drive,4.0,Midsize,Wagon,40,30
88,45800,BMW,320.0,6.0,AUTOMATIC,rear wheel drive,4.0,Midsize,Sedan,33,22
89,38750,BMW,248.0,4.0,AUTOMATIC,rear wheel drive,4.0,Midsize,Sedan,34,23
90,35450,BMW,180.0,4.0,AUTOMATIC,all wheel drive,4.0,Midsize,Sedan,34,23
91,33450,BMW,180.0,4.0,AUTOMATIC,rear wheel drive,4.0,Midsize,Sedan,35,23
92,40750,BMW,248.0,4.0,AUTOMATIC,all wheel drive,4.0,Midsize,Sedan,33,23
93,42250,BMW,180.0,4.0,AUTOMATIC,all wheel drive,4.0,Midsize,Sedan,40,30
94,42950,BMW,248.0,4.0,AUTOMATIC,all wheel drive,4.0,Midsize,Wagon,33,23
95,40250,BMW,180.0,4.0,AUTOMATIC,rear wheel drive,4.0,Midsize,Sedan,42,32
96,49900,BMW,320.0,6.0,AUTOMATIC,all wheel drive,4.0,Midsize,Sedan,31,21
97,47900,BMW,320.0,6.0,AUTOMATIC,rear wheel drive,4.0,Midsize,Sedan,32,21
98,44450,BMW,180.0,4.0,AUTOMATIC,all wheel drive,4.0,Midsize,Wagon,40,30
99,2847,Nissan,222.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Convertible,22,16
100,2488,Nissan,222.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,22,16
101,2683,Nissan,300.0,6.0,MANUAL,rear wheel drive,2.0,Compact,2dr Hatchback,22,16
102,2553,Nissan,222.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,22,16
103,3049,Nissan,300.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,22,16
104,2774,Nissan,222.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,22,17
105,2702,Nissan,222.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,22,17
106,3101,Nissan,222.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Convertible,22,17
107,3510,Nissan,300.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,22,16
108,3107,Nissan,222.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,22,17
109,3624,Nissan,222.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Convertible,22,17
110,3185,Nissan,222.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,22,17
111,2000,Mazda,82.0,4.0,MANUAL,front wheel drive,2.0,Compact,2dr Hatchback,33,25
112,2000,Mazda,82.0,4.0,MANUAL,front wheel drive,2.0,Compact,2dr Hatchback,33,25
113,2000,Mazda,82.0,4.0,MANUAL,front wheel drive,2.0,Compact,2dr Hatchback,33,25
114,2000,Mazda,82.0,4.0,MANUAL,front wheel drive,2.0,Compact,2dr Hatchback,32,24
115,2000,Mazda,82.0,4.0,MANUAL,front wheel drive,2.0,Compact,2dr Hatchback,33,25
116,36550,Nissan,306.0,6.0,AUTOMATIC,rear wheel drive,2.0,Compact,Convertible,23,17
117,41250,Nissan,306.0,6.0,AUTOMATIC,rear wheel drive,2.0,Compact,Convertible,23,17
118,30600,Nissan,306.0,6.0,AUTOMATIC,rear wheel drive,2.0,Compact,Coupe,24,17
119,37100,Nissan,306.0,6.0,AUTOMATIC,rear wheel drive,2.0,Compact,Coupe,24,17
120,27900,Nissan,306.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,25,18
121,32700,Nissan,306.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,25,18
122,40250,Nissan,306.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Convertible,24,17
123,35550,Nissan,306.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Convertible,24,17
124,36100,Nissan,306.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,25,18
125,33200,Nissan,306.0,6.0,AUTOMATIC,rear wheel drive,2.0,Compact,Coupe,24,17
126,37900,Nissan,306.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Convertible,24,17
127,29600,Nissan,306.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,25,18
128,38070,Nissan,306.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,25,18
129,38900,Nissan,306.0,6.0,AUTOMATIC,rear wheel drive,2.0,Compact,Convertible,23,17
130,33840,Nissan,306.0,6.0,AUTOMATIC,rear wheel drive,2.0,Compact,Coupe,24,17
131,38630,Nissan,306.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Convertible,24,17
132,39630,Nissan,306.0,6.0,AUTOMATIC,rear wheel drive,2.0,Compact,Convertible,23,17
133,37740,Nissan,306.0,6.0,AUTOMATIC,rear wheel drive,2.0,Compact,Coupe,24,17
134,41980,Nissan,306.0,6.0,AUTOMATIC,rear wheel drive,2.0,Compact,Convertible,23,17
135,36280,Nissan,306.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Convertible,24,17
136,36740,Nissan,306.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,25,18
137,40980,Nissan,306.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Convertible,24,17
138,38680,Nissan,306.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,25,18
139,28510,Nissan,306.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,25,18
140,30210,Nissan,306.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,25,18
141,31210,Nissan,306.0,6.0,AUTOMATIC,rear wheel drive,2.0,Compact,Coupe,24,17
142,33340,Nissan,306.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,25,18
143,37280,Nissan,306.0,6.0,AUTOMATIC,rear wheel drive,2.0,Compact,Convertible,23,17
144,41570,Nissan,306.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Convertible,24,17
145,36870,Nissan,306.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Convertible,24,17
146,42570,Nissan,306.0,6.0,AUTOMATIC,rear wheel drive,2.0,Compact,Convertible,23,17
147,37870,Nissan,306.0,6.0,AUTOMATIC,rear wheel drive,2.0,Compact,Convertible,23,17
148,39220,Nissan,306.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Convertible,24,17
149,40220,Nissan,306.0,6.0,AUTOMATIC,rear wheel drive,2.0,Compact,Convertible,23,17
150,46790,Nissan,350.0,6.0,AUTOMATIC,rear wheel drive,2.0,Compact,Coupe,26,19
151,48100,Nissan,332.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Convertible,24,17
152,29990,Nissan,332.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,26,18
153,41820,Nissan,332.0,6.0,AUTOMATIC,rear wheel drive,2.0,Compact,Convertible,25,18
154,31290,Nissan,332.0,6.0,AUTOMATIC,rear wheel drive,2.0,Compact,Coupe,26,19
155,34870,Nissan,332.0,6.0,AUTOMATIC,rear wheel drive,2.0,Compact,Coupe,26,19
156,33570,Nissan,332.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,26,18
157,46570,Nissan,332.0,6.0,AUTOMATIC,rear wheel drive,2.0,Compact,Convertible,25,18
158,37970,Nissan,332.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,26,18
159,37070,Nissan,332.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,26,18
160,49400,Nissan,332.0,6.0,AUTOMATIC,rear wheel drive,2.0,Compact,Convertible,25,18
161,45270,Nissan,332.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Convertible,24,17
162,39270,Nissan,332.0,6.0,AUTOMATIC,rear wheel drive,2.0,Compact,Coupe,26,19
163,45490,Nissan,350.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,26,18
164,41990,Nissan,350.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,26,18
165,38370,Nissan,332.0,6.0,AUTOMATIC,rear wheel drive,2.0,Compact,Coupe,26,19
166,43290,Nissan,350.0,6.0,AUTOMATIC,rear wheel drive,2.0,Compact,Coupe,26,19
167,41820,Nissan,332.0,6.0,AUTOMATIC,rear wheel drive,2.0,Compact,Convertible,25,18
168,48100,Nissan,332.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Convertible,24,17
169,43290,Nissan,350.0,6.0,AUTOMATIC,rear wheel drive,2.0,Compact,Coupe,26,19
170,39270,Nissan,332.0,6.0,AUTOMATIC,rear wheel drive,2.0,Compact,Coupe,26,19
171,34870,Nissan,332.0,6.0,AUTOMATIC,rear wheel drive,2.0,Compact,Coupe,26,19
172,41990,Nissan,350.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,26,18
173,38370,Nissan,332.0,6.0,AUTOMATIC,rear wheel drive,2.0,Compact,Coupe,26,19
174,45270,Nissan,332.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Convertible,24,17
175,45490,Nissan,350.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,26,18
176,29990,Nissan,332.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,26,18
177,46570,Nissan,332.0,6.0,AUTOMATIC,rear wheel drive,2.0,Compact,Convertible,25,18
178,46790,Nissan,350.0,6.0,AUTOMATIC,rear wheel drive,2.0,Compact,Coupe,26,19
179,49400,Nissan,332.0,6.0,AUTOMATIC,rear wheel drive,2.0,Compact,Convertible,25,18
180,37070,Nissan,332.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,26,18
181,31290,Nissan,332.0,6.0,AUTOMATIC,rear wheel drive,2.0,Compact,Coupe,26,19
182,37970,Nissan,332.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,26,18
183,33570,Nissan,332.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,26,18
184,37970,Nissan,332.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,26,18
185,38370,Nissan,332.0,6.0,AUTOMATIC,rear wheel drive,2.0,Compact,Coupe,26,19
186,34870,Nissan,332.0,6.0,AUTOMATIC,rear wheel drive,2.0,Compact,Coupe,26,19
187,29990,Nissan,332.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,26,18
188,45490,Nissan,350.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,26,18
189,41990,Nissan,350.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,26,18
190,45270,Nissan,332.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Convertible,24,17
191,33570,Nissan,332.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,26,18
192,48100,Nissan,332.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Convertible,24,17
193,39270,Nissan,332.0,6.0,AUTOMATIC,rear wheel drive,2.0,Compact,Coupe,26,19
194,46570,Nissan,332.0,6.0,AUTOMATIC,rear wheel drive,2.0,Compact,Convertible,25,18
195,49400,Nissan,332.0,6.0,AUTOMATIC,rear wheel drive,2.0,Compact,Convertible,25,18
196,37070,Nissan,332.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,26,18
197,41820,Nissan,332.0,6.0,AUTOMATIC,rear wheel drive,2.0,Compact,Convertible,25,18
198,46790,Nissan,350.0,6.0,AUTOMATIC,rear wheel drive,2.0,Compact,Coupe,26,19
199,43290,Nissan,350.0,6.0,AUTOMATIC,rear wheel drive,2.0,Compact,Coupe,26,19
200,31290,Nissan,332.0,6.0,AUTOMATIC,rear wheel drive,2.0,Compact,Coupe,26,19
201,25045,Mazda,184.0,4.0,MANUAL,front wheel drive,4.0,Compact,Sedan,37,25
202,26095,Mazda,184.0,4.0,AUTOMATIC,front wheel drive,4.0,Compact,Sedan,39,28
203,23845,Mazda,184.0,4.0,MANUAL,front wheel drive,4.0,Compact,Sedan,37,25
204,25395,Mazda,184.0,4.0,AUTOMATIC,front wheel drive,4.0,Compact,4dr Hatchback,37,27
205,24895,Mazda,184.0,4.0,AUTOMATIC,front wheel drive,4.0,Compact,Sedan,39,28
206,25545,Mazda,184.0,4.0,MANUAL,front wheel drive,4.0,Compact,4dr Hatchback,35,26
207,24295,Mazda,155.0,4.0,AUTOMATIC,front wheel drive,4.0,Compact,4dr Hatchback,40,30
208,20095,Mazda,155.0,4.0,MANUAL,front wheel drive,4.0,Compact,4dr Hatchback,40,29
209,19995,Mazda,155.0,4.0,AUTOMATIC,front wheel drive,4.0,Compact,4dr Hatchback,40,30
210,21145,Mazda,155.0,4.0,AUTOMATIC,front wheel drive,4.0,Compact,4dr Hatchback,40,30
211,23245,Mazda,155.0,4.0,MANUAL,front wheel drive,4.0,Compact,4dr Hatchback,40,29
212,24345,Mazda,184.0,4.0,MANUAL,front wheel drive,4.0,Compact,4dr Hatchback,35,26
213,18945,Mazda,155.0,4.0,MANUAL,front wheel drive,4.0,Compact,4dr Hatchback,40,29
214,26595,Mazda,184.0,4.0,AUTOMATIC,front wheel drive,4.0,Compact,4dr Hatchback,37,27
215,25495,Mazda,184.0,4.0,AUTOMATIC,front wheel drive,4.0,Compact,4dr Hatchback,37,27
216,20745,Mazda,155.0,4.0,MANUAL,front wheel drive,4.0,Compact,4dr Hatchback,40,29
217,24295,Mazda,155.0,4.0,AUTOMATIC,front wheel drive,4.0,Compact,4dr Hatchback,40,30
218,21795,Mazda,155.0,4.0,AUTOMATIC,front wheel drive,4.0,Compact,4dr Hatchback,40,30
219,26495,Mazda,184.0,4.0,AUTOMATIC,front wheel drive,4.0,Compact,4dr Hatchback,37,27
220,24745,Mazda,184.0,4.0,MANUAL,front wheel drive,4.0,Compact,Sedan,37,25
221,19595,Mazda,155.0,4.0,AUTOMATIC,front wheel drive,4.0,Compact,4dr Hatchback,40,30
222,23245,Mazda,155.0,4.0,MANUAL,front wheel drive,4.0,Compact,4dr Hatchback,40,29
223,18545,Mazda,155.0,4.0,MANUAL,front wheel drive,4.0,Compact,4dr Hatchback,40,29
224,25795,Mazda,184.0,4.0,AUTOMATIC,front wheel drive,4.0,Compact,Sedan,39,28
225,25445,Mazda,184.0,4.0,MANUAL,front wheel drive,4.0,Compact,4dr Hatchback,35,26
226,24795,Mazda,184.0,4.0,AUTOMATIC,front wheel drive,4.0,Compact,Sedan,39,28
227,23145,Mazda,184.0,4.0,MANUAL,front wheel drive,4.0,Midsize,Sedan,34,25
228,24195,Mazda,184.0,4.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,36,27
229,20145,Mazda,155.0,4.0,AUTOMATIC,front wheel drive,4.0,Compact,4dr Hatchback,37,28
230,24945,Mazda,184.0,4.0,AUTOMATIC,front wheel drive,4.0,Compact,4dr Hatchback,35,26
231,23895,Mazda,184.0,4.0,MANUAL,front wheel drive,4.0,Compact,4dr Hatchback,33,25
232,19095,Mazda,155.0,4.0,MANUAL,front wheel drive,4.0,Compact,4dr Hatchback,37,27
233,23445,Mazda,184.0,4.0,AUTOMATIC,front wheel drive,4.0,Compact,4dr Hatchback,35,26
234,22245,Mazda,155.0,4.0,AUTOMATIC,front wheel drive,4.0,Compact,4dr Hatchback,37,28
235,22395,Mazda,184.0,4.0,MANUAL,front wheel drive,4.0,Compact,4dr Hatchback,33,25
236,42300,BMW,240.0,4.0,AUTOMATIC,all wheel drive,4.0,Midsize,Sedan,33,22
237,40300,BMW,240.0,4.0,AUTOMATIC,rear wheel drive,4.0,Midsize,Sedan,34,23
238,40300,BMW,240.0,4.0,AUTOMATIC,rear wheel drive,4.0,Midsize,Sedan,34,23
239,42300,BMW,240.0,4.0,AUTOMATIC,all wheel drive,4.0,Midsize,Sedan,33,22
240,45800,BMW,300.0,6.0,AUTOMATIC,rear wheel drive,4.0,Midsize,Sedan,32,21
241,47800,BMW,300.0,6.0,AUTOMATIC,all wheel drive,4.0,Midsize,Sedan,31,20
242,43650,BMW,240.0,4.0,AUTOMATIC,all wheel drive,4.0,Midsize,Sedan,34,22
243,49950,BMW,300.0,6.0,AUTOMATIC,all wheel drive,4.0,Midsize,Sedan,30,20
244,47950,BMW,300.0,6.0,AUTOMATIC,rear wheel drive,4.0,Midsize,Sedan,31,20
245,41650,BMW,240.0,4.0,AUTOMATIC,rear wheel drive,4.0,Midsize,Sedan,34,23
246,48300,BMW,320.0,6.0,AUTOMATIC,rear wheel drive,4.0,Midsize,Sedan,32,21
247,50300,BMW,320.0,6.0,AUTOMATIC,all wheel drive,4.0,Midsize,Sedan,31,21
248,43950,BMW,248.0,4.0,AUTOMATIC,all wheel drive,4.0,Midsize,Sedan,33,23
249,41950,BMW,248.0,4.0,AUTOMATIC,rear wheel drive,4.0,Midsize,Sedan,34,23
250,56900,BMW,300.0,6.0,AUTOMATIC,all wheel drive,2.0,Midsize,Convertible,29,20
251,46250,BMW,300.0,6.0,AUTOMATIC,rear wheel drive,2.0,Midsize,Coupe,32,21
252,50750,BMW,240.0,4.0,AUTOMATIC,all wheel drive,2.0,Midsize,Convertible,33,21
253,42750,BMW,240.0,4.0,AUTOMATIC,all wheel drive,2.0,Midsize,Coupe,33,22
254,48750,BMW,240.0,4.0,AUTOMATIC,rear wheel drive,2.0,Midsize,Convertible,34,23
255,48250,BMW,300.0,6.0,AUTOMATIC,all wheel drive,2.0,Midsize,Coupe,30,20
256,42750,BMW,240.0,4.0,AUTOMATIC,all wheel drive,2.0,Midsize,Coupe,33,22
257,50750,BMW,240.0,4.0,AUTOMATIC,all wheel drive,2.0,Midsize,Convertible,33,21
258,40750,BMW,240.0,4.0,AUTOMATIC,rear wheel drive,2.0,Midsize,Coupe,35,23
259,54900,BMW,300.0,6.0,AUTOMATIC,rear wheel drive,2.0,Midsize,Convertible,31,20
260,48750,BMW,240.0,4.0,AUTOMATIC,rear wheel drive,2.0,Midsize,Convertible,34,23
261,40750,BMW,240.0,4.0,AUTOMATIC,rear wheel drive,2.0,Midsize,Coupe,35,23
262,52000,BMW,240.0,4.0,AUTOMATIC,all wheel drive,2.0,Midsize,Convertible,33,21
263,50000,BMW,240.0,4.0,AUTOMATIC,rear wheel drive,2.0,Midsize,Convertible,34,23
264,41850,BMW,240.0,4.0,MANUAL,rear wheel drive,2.0,Midsize,Coupe,34,22
265,50150,BMW,300.0,6.0,AUTOMATIC,all wheel drive,2.0,Midsize,Coupe,30,20
266,41850,BMW,240.0,4.0,AUTOMATIC,rear wheel drive,2.0,Midsize,Coupe,35,23
267,58950,BMW,300.0,6.0,AUTOMATIC,all wheel drive,2.0,Midsize,Convertible,29,20
268,43850,BMW,240.0,4.0,AUTOMATIC,all wheel drive,2.0,Midsize,Coupe,34,22
269,48150,BMW,300.0,6.0,AUTOMATIC,rear wheel drive,2.0,Midsize,Coupe,31,20
270,56950,BMW,300.0,6.0,AUTOMATIC,rear wheel drive,2.0,Midsize,Convertible,31,20
271,50300,BMW,248.0,4.0,AUTOMATIC,rear wheel drive,2.0,Midsize,Convertible,34,23
